text,sentiment,aspect
Good service for lunch. For cleaning and miscellaneous needs. Thanks Mr:Prasad Very happy with good lunch and good staff. Cinemon grand colombo..very happy with good lunch and good staff.special thanks prasad,positive,"Food,Staff"
Had a flavourful lunch at the Lagoons. Enjoyed the variety of fresh seafood on offer. Service of the staff and especially Mr. Ranjith makes the whole experience pleasant. Highly Recommended and will be coming soon surely.,positive,"service,food"
"Great food and excellent service by all including the chefs. The crab bisque starter was exceptional, so was the sago pudding, our dessert. The lobster and the fish roe, although were very tasty, could do with less cooking time and spices. Vegetable fried rice and Kang Kung were great accompaniments. Overall, delicious food. Special thanks to the chef, our servers Damith and Vibodha. We look forward to seeing you all soon. Dr. D. Alwis",positive,"service,food"
Good service for lunch. For cleaning and miscellaneous needs. Thanks Mr:Prasad Very happy with good lunch and good staff. Cinemon grand colombo..very happy with good lunch and good staff.special thanks prasad,positive,service
Had a flavourful lunch at the Lagoons. Enjoyed the variety of fresh seafood on offer. Service of the staff and especially Mr. Ranjith makes the whole experience pleasant. Highly Recommended and will be coming soon surely,positive,service
We stayed at cinnamon grand after our wedding. Room service is amazing and the staff is very friendly. We met this room boy names Ishan and his supervisor Upul who are really keen about what they do and really supportive. They are super quick and fast in what they do but doesn�t compromise the quality,positive,"room ,staff "
"We checked in to this luxurious hotel on the 6th of December. We arrived a lot earlier than our anticipated check in time. The hotel staff immediately checked to see the room availability and if they can accommodate us slightly earlier without us even requesting. It was truly a blessing in disguise because otherwise we would�ve had to wait at the reception with all our bags. The room we checked into and a really nice view of the city. The room was super clean, everything was replaced with new items and bedding. The AC in the room was absolutely great escape from the heat outside. Right after getting our luggage�s into the room, we ordered room service as we didn�t have breakfast and the the dining staff was super quick to have hot hot breakfast delivered to our doorstep with a moveable dining table and butler like service and the finest utensils, this was really nice to see! We felt like we were fine dining but in our very own room!! We then headed to the pool for a quick dip, the pool was really well maintained and the water was just perfect to cool off the heat from the sun. Both dinner and breakfast blew us away with the amount of spread they had at the buffets. Every bit of food was just so delicious that we kept wanting to eat more. They even got their sushi and sashimi right (we are big fans). Our overall experience was an absolute bliss and will always have Cinnamon Grand at the top of our to-stay list in Colombo. Thank you Pramu and the team!",positive,"room,food "
The hotel is as you would expect from hotels like this in Asia. Nothing bad at all but things could also be a little better. Housekeeping staff are very good and Kasun was a star. Good location in Central Colombo,positive,"accommodation ,staff "
"Highly recommend food and drink, I had a good experience, service is very excellent, excellent team work, lot of varieties and peaceful area, Lakshitha is a very good service person and very friendly!",positive,service
"We went to Nuga Gama. It felt like a place away from the city once entered. The spread was extensive and food was tasty!! The staff Dilruk, Wasalage, Tharush, Dinusha and chef lalith have done a great job. Highly recommend !",positive,food
"The buffet had amazing selections and very delicious food, highly recommend.I got served by Maxi, Pupudu, Ruwani and Thilanka who were great. If you are in Colombo, I highly recommend visiting this restaurant",positive,food
"Fantastic staff, extremely friendly and helpful. High level of cleanliness and very comfortable overlooking the sea. Definitely recommend a stay at this hotel and look forward to coming back.
Gayani, Jagatha, and Niluka both tremendously helpful, kind and supportive.",positive,"Staff,atmosphere"
"Staff at this hotel, first class. Everyone, from the Bell boys to waiters and waitresses so friendly. Always smiling and ready to help. I am a wheelchair user and I am really touched by how helpful everyone is. Especially grateful to Sanjeeva, one of the bellboys and all the staff at �Plates� restaurant. Thank you for all your assistance and friendliness",neutral,staff
I just wanted to express my sincere thanks to Maxi who found /returned my debit card that I left at restaurant today. It is nice to find someone so honest and caring. I hope you read this and know how much you are appreciated. I offer my heartfelt thanks and wish you a happy holiday season!! Thank you Isuru,neutral,credit card
Cinnamon plates is the best buffet in colombo city.me and my family loved japanese sushi shashimi and spred of salds. There were carvaries ad ao many dishes .i.tell u frankly its really value for money. Ms chamodi given us Warm welcome and usher us to nice table.she was veryhelpful for us. And also boy who served us also exceptional . Thank you for wonderful birthday celeration plates manger and his team. Best regrds reccomand plates every one without any hesitate ??????,negative,service
Very nice room and excellant service by Samitha. He cleaned well and was very attentive to our needs. Bed was so comfy and huge fluffy pillows made it perfect. I would definitely recommend this hotel.,positive,"service ,room "
"all necessary facilities available in the hotel and room, different restaurants for everbody's tastes, good location, excellant and nice staff from the cleaning persnal to the management.
I would recommend every time.",positive,"staff ,room,facilities "
First time coming to the lobby at cinnamon grand. Amazing food and drink and the best service offered. The music also amazing which I could listen to all day. Best place to relax and unwind in the evening as well after a busy day. Looking forward to visiting here more often,positive,service
I come to noodles regularly which is restaurant at the Cinnamon Grand. Always warmly welcomed by Chamath and some other waiters. My favorite dish is the Chicken Lemon Grass Rice. Their mock tails are sensational. Thanks for your great service!,positive,service
"The hotel was super luxurious. The rooms are modern. During our stay we had the opportunity to experience the Sunday Brunch Buffett. Food was super delicious and with so many varieties. The staff, specially Meura and Vinod were super friendly. And their service was excellent.",positive,"food ,service "
"Meet friends to chat and have tea. Service was prompt and efficient. Staff were efficient and professional. Good selection of food and ranges of teas. Lounge area was spacious,clean and there were plenty of table and chairs in the lounge area Nothing was too much trouble.",positive,"food ,staff ,service "
"Had a very nice chilled evening at Breeze Bar� The Cocktail was on point, the food was good, AND quick, but best of all was the service. We were looked after by Mahesh and he was perfect. Helpful, attentive, fast, kind and professional. All in all a very nice experience",positive,"food ,service "
"Dilruk, krishmal, dinusha, tharusha, nilmini, chef- sujith and team done a great job here.. very good service , and friendly ,, and also the band team very good. Favorite place.. highly recommended .. keep it up",positive,Staff
"An authentic sri lankan restaurant, great food and tranquil atmosphere. I would highly recommend this restaurant fto bring family amd friends. Thanks to chef Sujith, Dilruk and team for the food and sri lankan hospitality!",positive,"food ,atmosphere ,accommodation "
Very good service and the seafood lagoon delicious level is superb. Staff is shows their professional expertise very well. It was an amazing experience for us as a beginners. They are very kind and professionals,positive,"service ,food "
After a long time came to my favorite restaurant of all the restaurants in Cinnamon Grand. The food has always been on point and very tasty. The manager whom works here Mr Ranjith has always treated us well each time we visited and taken care of us. We enjoy coming to Lagoon restaurant because of Mr Ranjith.,neutral,food
"Excellent laundry service and the staff is delightful and efficient. Special thanks to Vasantha. I've had bad experiences with some of the other 5start laundry services in the past, but I never had a bad experience with CG services.
Highly recommend their services.",positive,"staff ,service "
Fabulous food and excellent service. Mr. Samith was friendly and gave a good customer service. Soothing music around the cafe and pleasent ambient as well. We had a great wonderful experience in Cinnamon Grand. Highly Recommended,positive,"food ,service "
"I always come to the laundry whenever I need something urgently done, and Vasantha Fernando at the laundry counter immediately gets it done for and always with a smile. I�ve been a repeat customer for the past 5 years! Excellent service!",positive,service
"Best hotel in City of Colombo, best location and easy excess to the Galle face and many others, and staff were so friendly and food spread in buffet area is good and tasty. for the seafood lovers i will highly recommend their Lagoon restaurant. 
",positive,"accommodation ,food "
"Samitha provided an excellent service in keeping the room up to expectations.
Also like mention the friendly and service staff by the pool, Coffee Stop and Plates restaurant.
Lagoon however need to improve service level since it has gone down",positive,service
"We had lunch at the Plates after we arrived at the hotel. The food and layout was very good with many choices. I was very impressed by the knowledge of Ruwini who explained the spice levels and contents of each dish . It was a learning experience of each dish. Thanks to Ruwini.
Valentine Kao Room#705",positive,food
"Room boy Priyanjith , everything was very good. Roomcleaning was 5 stars . Cleaning very good. Hotel was very beautiful. I recommend it . Was fabulous. Room was very clean and spacious . I recommend to all my friends .
",positive,room
"All services from hotel staffs was excellent, particularly Lakshitha and Darshana, sadamini miuyru chamodi at Bfast lounge, very caring and pay attention to their guest, feels like home, will return once hv a chance????",Positive,"Service,Staff"
"I wanted to commend Lakshith, meuru, chamodi,and sadamini at the �Plates� dinning room. I have only been here for a few days of my trip so far but they have all been very attentive, helpful, and extremely accommodating. They have each gone the extra mile with any little request I or my family have made. I hope each of them will be recognized for there diligence and perfect hospitality.",Positive,"Service,Accomodation"
The international buffet at the plates is very good with many varieties. It gives good value for our spending. The service of Maxi and Miuru was amazing. They were very quick and friendly. Thank you..,Positive,Service
"Great stay, lovely pool area, buffet breakfast, lunch and dinner all high level taste and selection. Had a free room upgrade and late check out. For business and pleasure I will be returning. Top marks on all counts everything was good and I cannot fault the hotel on any point",Positive,Food
"We had a nice afternoon lunch at the Plates restaurant in Cinnamon Grand. Our waiter, Maxi, was super kind, attentive, and provided really great service. He made sure our visit was enjoyable and the food was up to our liking. Will definitely come back before we leave",Positive,"Food,Service"
"Spent 3 nights at cinnamon grand, I must say that I thoroughly enjoyed my stay. I stayed in a Lovely room on the 6th floor, great service and very friendly staff.I will recommend this hotel to my friends and family and come back here again",Positive,"Staff,Service,Room"
"Lakshitha from Plates gave a superb service and restaurant was clean and tidy and good atmosphere was great.
Spacious and outdoor area gives a nice pool view overall a great place to dine and have a good time",Positive,"Service,Atmosphere"
"We had an A class service from the staff and they were very accommodative for all our needs. Special shout out to Meuru and Pubudu for excellent service for my special birthday. We had a wonderful night and will definitely come again for the great service.
",Positive,"Service,Accomodation"
Favorite hotel shout out to the best manager mr kamal and namal for my beautiful stay and shout out to nissanka for hooking me up with the best shisha i highly recommend this hotel and the stay!!!!!!,Positive,Accomodation
"Delicious food and amazing service! We were waited by shehan and Hasith and thoroughly enjoyed our experience ! Thanks to the staff! Special mention to the prawn and red fish curry which was quite exquisite !
",Positive,"Food,Service,Accomodation"
My room number 540. Priyanjith and Kasun have done an excellent job cleaning my room. Extremely satisfied with the facilities especially the Plates Breakfast and other dining facilities. Been a regular customer for almost 30 yrs.,Positive,"Room,Facilities"
"Amazing service as always and I'd like to especially mention Chamodi, Suren and Meuru for taking such good care of all of us.The food was amazing.The hospitality was amazing and I felt right like home.Thank you and I look forward to coming again soon. Umara Sinhawansa",positive,"service ,food "
"I ordered cake for my wife's birthday from Cinnamon Colombo hotel delivery services. The cake was excellent, delivered on time, and the staff who delivered the food were really helpful,and excellent website with easy ordering process.Highly recommended.??",positive,"service ,food "
"Arrived here on a Sunday afternoon in late Oct 2022, spending only one night on our tour of Sri Lanka. It�s quite a large hotel but somehow manages not to feel large. Has a lovely pool and our 6th floor room overlooked the pool. Nice open plan bar. We had a buffet meal on the Saturday night , in the garden and we�d been recommended this by our travel agent as outstanding.It was a bit better than ok.
",neutral,accommodation
"Overall the hotel is beautiful and the bedrooms are quite clean too! The low rating is due to the mould build up in the showers and the poor quality food at Noodles which caused Gastro for a number of our friends and family. However a special thanks to Pradeep from Housekeeping who took really good care of us during our stay! Pradeep has a warm smile making him an approachable person, who was very detailed in cleaning/ tiding our room. Thank you Pradeep!
",positive,"Room,service,food-poor"
"I stayed here with some of my foreign friends and my family for about a week recently. No doubt, that it is one of the best stays ever. I was greeted with such kindness and this continued throughout my stay. Everyone loved the hotel. The rooms were clean and super comfortable, the food was amazing and The hotel staff was beyond exceptional. I must appreciate the special service of Prabath(Butler), Upeksha, Tharaka, Ali and from the top management To The lowest employee of the 9th floor. And also a special thanks to Delucian at restaurant , Wasantha and Lakshitha, Indika (Swimming pool) and Jagath(house keeping) and And to all those whose names might have forgotten. They were the nicest staff I have ever encountered at a hotel and everyone was extremely friendly and asked how�
",positive,accommodation
"Ordered the Laksa Lemak and the Kung pao noodles. Had the chocolate lava cake and fritters for dessert. I don't know what it is about Noodles but they own the word ""consistency "". Chamath and Shehani took Excellent care of both me and my date. We were served with Green tea to wash it all down. Can't wait for the next visit!",positive,service
"Just had an amazing lunch. Mr Samith is very attentive and has exceptional customer service skills. Received great hospitality from him. Had the cobb salad and the fantastic fish and chips. Great selection of drinks. Ambience and music is very relaxing.
",positive,"Ambience and music,food,service"
"It was awesome. Got to taste some authentic Sri Lankan style dishes. Met some nice staff who took care of us kindly and gently. Dilruk Wasalage Krishmal Dinusha Tharanga Chef-Sujith Complementary thanks and well wishes to all at Nuga Gama CG. Cheers. Jonathan & Sheryl 
",positive,"Food,Service,satff"
I had the oppertunity of visiting Cinnamon Grand for High Tea on a satirfay evening with a friend. Everything was perfect and our helper Samith assisted us with everything we neded. Food was super tasty and the prices are resonable too. Highly recommend Connamon Gramd High Tea,positive,Food
This is the best place in Sri Lanka to spend your time with your family and your friends. They have the best foods with best price range also a best customer service Thanks to Mr. Chamath I have a great time in here.,positive,"Service,Accomodation, Food"
"We come every Saturday for dinner and drinks, most days we are served by Samith, we have great time here. Food and Drinks are fabulous and when combined with LIVE music it�s relaxing and time goes slowly. We love visiting the place to chill and have a good time. Love the ambiance and environment Cinnamon Tea Lounge has to offer.",positive,"Food,accomodation,music"
"The Singapore chili crab was aaaaaamazing with the spicy ginger prawn and HBC with garlic rice....D Damith was so helpful in tending to our needs with the claw crackers and hand wash bowls for our messy hands.... So worth the mess!!! 
",positive,"Food,Service"
"Service was excellent. Aruna was such a great sport! Music of course was a bit ?? but we had it changed to our liking! Bloody review needs at least 200 characters so idk what else to say! Will be back. Need fans!!!! Omg need fans! Its a bit hot and sweaty. 
",positive,Service
"I stay at cinnamon grand colmbo hotel last week . The hotel is very clean and beautiful. I thank for hotel staff they help us every time.. and I specially thank cleaning staff room boy kasun and supavaiser hasitha cleaning aur room. Thank you
",positive,"atmosphere,staff,service"
Excellent service as always. Plates offers a wide variety of food spanning over multiple cuisines. Our overall experience and regular visits to Plates is always elevated thanks to Vishaka who has been a dedicated team member at CG for years now. Highly recommended!!,positive,"Service,Accomodation, Food"
The food and service was good. Maxi responded well and attended to our needs.. The spread was worth for the price and we enjoyed the time spent here. Had a great view from the table we were allocated. Will definitely come again.. ??,positive,"Food,Service"
Room was excellent and very clean and tidy. Staff is extremely helpful and friendly. Had a wonderful stay .helpful room attend is dayan and he's supervisor neluka they extremely nice and help full.will be back for sure,positive,"Room,Service"
"Excellent service and mouth watering food. Superb Customer care By Mr. Ranjith and Damith and rest of the Staff. Had a lovely time on our special day . Will be visiting again the hotel again for our anniversary!
",positive,"Service,Food"
"Had vege fried rice and seafood curry with rice. Tempura Prawns as the starter The food was of excellent quality. The staff was very helpful. Our special thanks to Chamath who looked after us till the end.
",positive,"Food,Staff"
"This is my third stay here and it always gets better. It feels like a home away from home. The staff all throughout the hotel go above and beyond to help and are the kindest people you�ll ever meet.
I can�t thank Bhanu, Ali and Prasanna enough for their help when I was sick. The three of you were so wonderful and I�ll be forever grateful to you.
Can�t wait to see you all again early next year.
Thanks for another wonderful stay ??",positive,"Accomodation,Service"
"The service of Samitha is highly satisfied with a great hospitality...we appreciate the way how he gave us and serve us by giving a sepate attention for each and the efficiency..highly satisfied with the service
",Positive,Service
"This is our second visit to the Cinnamon Grand with the last visit in 2015. In terms of decor - nothing has changed. It is looking a bit dated but still pleasant and clean.

We opted for an Executive Room, which is on the 9th Floor and has it own lounge area and dedicated staff. The Executive lounge area has High Tea (15:00 hrs) and Happy Hour (18:00 hrs) - both being free and served by excellent staff. Shame the view is nothing special. The Executive Floor also has its own dedicated check-in, which was efficient and friendly, although they did have an issue processing an American Express card.

Rooms are ok. Nothing to rave about and now looking dated. I was disappointed that they only offer sachet coffee. As mentioned in another review - the Cinnamon Bentota provides a coffee machine with pods - what I would suggest is the minimum for a 5-star hotel. The internet is good (80-100 mb/s) but limited to 4 devices (not good for a family of four with iPads, laptops and iPhones!)

Hotel amenities are good. Lots of restaurants with the Sri Lankan (Nuga Gama) being outstanding. However, some of the restaurants are overpriced - London Grill charging UK prices of a steak!

The gym is good; however the old entrance through the side of the hotel via a walkway has been chained off, so you have to leave through the hotel lobby exit. Not ideal when returning sweaty!

Overall - this hotel is a pleasant stay. Staff are very friendly and accommodating - probably the second best we have had on this holiday (first being Cinnamon Bentota).

Would I stay here again? Yes",Positive,"Accomodation,Service,Room,Facility-gym"
"A great breakfast with great service from sadamini, Kiwani and keerthi- I�ll be back tomorrow! The food was great the service excellent. Cinnamon grand is a great place for business or a holiday. I will definitely recommend",Positive,"Food,Service,Accomodation"
"Excellent service ! With quality food and quality service ! Thanks a lot for Sameera, Menura & Lakshan for superb hospitality. Highly recommended . And food arrangements as well as they treated the customers really well�",Positive,"Service,Food"
"Visit to Excellent Hotel. Top rated Hotel.Staff service was Excellent. Keerthi,pubudu,Meuru these staff services are marvelous. Top rated staff. I recommend these Hotel. I went for my mothers birthday in this hotel for dinner and they planed surprise cake there. We so happy . Thank you Cinnamon grand is best comparing to Other hotel. Thank you so much",Positive,"Accomodation,Service,Staff"
What a great meal we had at the Lagoon in the cinnamon grand hotel in Colombo. Everyone of the staff was amazingly friendly and very attentive so I applaud them for that. I would also like to mention that Damith was a lovely chap so give him a raise !!,Positive,"Food,Staff"
"Very sweet man, very kind and generous. Appreciate his service. He gave us a splendid experience here at the Cinnamon Grand Coffee Stop. Thank you Mr Sanjeewa, keep up the good work. Wishing you all the very best :)",Positive,Service
